epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2575540244579315,3.9908254146575928,0.001,0.4195166528224945,3.724376916885376
1,0.29510921239852905,3.779508352279663,0.001,0.4131326973438263,3.558411121368408
2,0.29304513335227966,3.6267199516296387,0.001,0.37437301874160767,3.431643009185791
3,0.28605011105537415,3.4814069271087646,0.001,0.3962608277797699,3.300342559814453
4,0.2956825792789459,3.3442599773406982,0.001,0.3921568691730499,3.169870138168335
5,0.30210423469543457,3.204855442047119,0.001,0.4058367609977722,3.053452253341675
6,0.29447853565216064,3.0856082439422607,0.001,0.357957124710083,2.941654682159424
7,0.30055615305900574,2.963406562805176,0.001,0.37254902720451355,2.8268039226531982
8,0.3069778084754944,2.8434534072875977,0.001,0.35385316610336304,2.708691120147705
9,0.3053723871707916,2.72405743598938,0.001,0.3885088860988617,2.6081204414367676
10,0.30795252323150635,2.6185460090637207,0.001,0.35430917143821716,2.53224515914917
11,0.3061177730560303,2.5196533203125,0.001,0.4131326973438263,2.414224624633789
12,0.3138008117675781,2.4231462478637695,0.001,0.18559052050113678,2.367657423019409
13,0.3055444061756134,2.3265185356140137,0.001,0.38942089676856995,2.224538564682007
14,0.3080098628997803,2.2337818145751953,0.001,0.2991335988044739,2.1534533500671387
15,0.316724956035614,2.143462896347046,0.001,0.19744642078876495,2.08771014213562
16,0.31133535504341125,2.0657565593719482,0.001,0.3780209720134735,1.9833437204360962
17,0.3299696147441864,1.9804646968841553,0.001,0.3889648914337158,1.91448175907135
18,0.32085317373275757,1.9014955759048462,0.001,0.37391701340675354,1.8331079483032227
19,0.3263574242591858,1.82923424243927,0.001,0.3775649666786194,1.766579031944275
20,0.32480934262275696,1.7602416276931763,0.001,0.3533971607685089,1.6999410390853882
21,0.33151769638061523,1.691964864730835,0.001,0.3989968001842499,1.6338285207748413
22,0.3362765908241272,1.6316574811935425,0.001,0.3702690303325653,1.5765069723129272
23,0.32756149768829346,1.5709357261657715,0.001,0.34518924355506897,1.5231531858444214
24,0.33220571279525757,1.5093740224838257,0.001,0.3812129497528076,1.4548600912094116
25,0.33598992228507996,1.4557960033416748,0.001,0.35111719369888306,1.4302576780319214
26,0.33277907967567444,1.4054540395736694,0.001,0.39534884691238403,1.3622703552246094
27,0.3441316485404968,1.3519577980041504,0.001,0.38486093282699585,1.3106318712234497
28,0.35410812497138977,1.3057571649551392,0.001,0.359325110912323,1.275437593460083
29,0.33025628328323364,1.2597312927246094,0.001,0.37847697734832764,1.2151367664337158
30,0.3520440459251404,1.2163556814193726,0.001,0.3944368362426758,1.1777805089950562
31,0.3561148941516876,1.1718813180923462,0.001,0.3378933072090149,1.1405166387557983
32,0.35852301120758057,1.1368224620819092,0.001,0.39534884691238403,1.105424165725708
33,0.34539303183555603,1.097848653793335,0.001,0.4044687747955322,1.072205901145935
