99516,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | MODULATING FLOATING(FAIL IN PLACE) | 24 VAC,247
99517,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | MODULATING FLOATING(FAIL IN PLACE) | 24 VAC | 2 AUX SWITCHES,247
99518,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | MODULATING FLOATING(FAIL IN PLACE) | 24 VAC | 2 AUX SWITCHES | NEMA 3R ENCLOSURE,247
99519,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | MODULATING FLOATING(FAIL OPEN) | 24 VAC,247
99520,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | MODULATING FLOATING(FAIL OPEN) | 24 VAC,247
99521,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | MODULATING FLOATING(FAIL OPEN) | 24 VAC | 1 AUX SWITCH,247
99522,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | MODULATING FLOATING(FAIL OPEN) | 24 VAC | 1 AUX SWITCH | NEMA 3R ENCLOSURE,247
99523,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | ON OFF(FAIL CLOSED) | 100 | 250 VAC,247
99524,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | ON OFF(FAIL CLOSED) | 100 | 250 VAC | 1 AUX SWITCH,247
99525,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | ON OFF(FAIL CLOSED) | 100 | 250 VAC | 1 AUX SWITCH | NEMA 3R ENCLOSURE,247
99526,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | ON OFF(FAIL CLOSED) | 100 | 250 VAC | NEMA 3R ENCLOSURE,247
99527,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | ON OFF(FAIL CLOSED) | 24 VAC,247
99528,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | ON OFF(FAIL CLOSED) | 24 VAC,247
99529,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | ON OFF(FAIL CLOSED) | 24 VAC | 1 AUX SWITCH,247
99530,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | ON OFF(FAIL CLOSED) | 24 VAC | 1 AUX SWITCH | NEMA 3R ENCLOSURE,247
99531,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | ON OFF(FAIL OPEN) | 100 | 250 VAC,247
99532,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | ON OFF(FAIL OPEN) | 100 | 250 VAC | 1 AUX SWITCH,247
99533,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | ON OFF(FAIL OPEN) | 100 | 250 VAC | 1 AUX SWITCH | NEMA 3R ENCLOSURE,247
99534,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | ON OFF(FAIL OPEN) | 100 | 250 VAC | NEMA 3R ENCLOSURE,247
99535,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | ON OFF(FAIL OPEN) | 24 VAC,247
99536,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | ON OFF(FAIL OPEN) | 24 VAC,247
99537,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | ON OFF(FAIL OPEN) | 24 VAC | 1 AUX SWITCH,247
99538,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | DCA PROFILE | ON OFF(FAIL OPEN) | 24 VAC | 1 AUX SWITCH | NEMA 3R ENCLOSURE,247
99539,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | LOW PROFILE | FLOATING ON/OFF(FAIL IN PLACE) | 24 VAC,247
99540,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | LOW PROFILE | FLOATING ON/OFF(FAIL IN PLACE) | 24 VAC,247
99541,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | LOW PROFILE | FLOATING ON/OFF(FAIL IN PLACE) WITH 1 METER CABLE | 24 VAC,247
99542,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | LOW PROFILE | FLOATING ON/OFF(FAIL IN PLACE) WITH 1 METER CABLE | 24 VAC,247
99543,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | LOW PROFILE | FLOATING ON/OFF(FAIL IN PLACE) WITH 3 METER CABLE | 24 VAC,247
99545,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | LOW PROFILE | FLOATING ON/OFF(FAIL IN PLACE) WITH 3 METER CABLE | 24 VAC,247
99547,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | LOW PROFILE | MODULATING(FAIL IN PLACE) | 24 VAC,247
99548,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | LOW PROFILE | MODULATING(FAIL IN PLACE) WITH 1 METER CABLE | 24 VAC,247
99549,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | LOW PROFILE | MODULATING(FAIL IN PLACE) WITH 3 METER CABLE | 24 VAC,247
99551,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | STANDARD PROFILE | FLOATING ON/OFF(FAIL IN PLACE) | 24 VAC,247
99552,CONTROL BALL VALVE WITH ELECTRIC ACTUATOR | 1 IN. NPT | 2 WAY | 15.3 CV  | PLATED BRASS TRIM | STANDARD PROFILE | FLOATING ON/OFF(FAIL IN PLACE) | 24 VAC,247
